model,protocol,subject,session,train_session,test_session,seed,fold,n_train,n_val,n_test,best_epoch,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,cross_session,sub-003,,ses-04,ses-01,4,,80,20,92,2,0.456522,0.447917,0.429563,0.449811,1.131905,0.688836,0.306071
deepconvnet,cross_session,sub-003,,ses-04,ses-02,4,,80,20,100,2,0.550000,0.550000,0.544488,0.585200,0.722228,0.515792,0.102678
deepconvnet,cross_session,sub-003,,ses-04,ses-03,4,,80,20,92,2,0.500000,0.509220,0.397151,0.559811,1.409634,0.767943,0.400383
deepconvnet,cross_session,sub-003,,ses-04,ses-05,4,,80,20,100,2,0.510000,0.510000,0.465007,0.523200,0.716501,0.521093,0.089016
deepconvnet,cross_session,sub-003,,ses-05,ses-01,4,,80,20,92,1,0.521739,0.501894,0.379902,0.569602,0.988409,0.603565,0.225233
deepconvnet,cross_session,sub-003,,ses-05,ses-02,4,,80,20,100,1,0.510000,0.510000,0.495418,0.521200,0.830372,0.580548,0.160398
deepconvnet,cross_session,sub-003,,ses-05,ses-03,4,,80,20,92,1,0.489130,0.500000,0.328467,0.532388,2.105730,0.911503,0.448745
deepconvnet,cross_session,sub-003,,ses-05,ses-04,4,,80,20,100,1,0.510000,0.510000,0.495418,0.571200,0.683155,0.490583,0.054167
deepconvnet,cross_session,sub-004,,ses-01,ses-02,4,,69,18,97,78,0.505155,0.506803,0.493031,0.501276,0.706899,0.510805,0.072345
deepconvnet,cross_session,sub-004,,ses-01,ses-03,4,,69,18,91,78,0.549451,0.549903,0.549233,0.622093,0.682029,0.484653,0.136616
deepconvnet,cross_session,sub-004,,ses-01,ses-04,4,,69,18,100,78,0.440000,0.440000,0.405772,0.429600,0.811972,0.602742,0.208780
deepconvnet,cross_session,sub-004,,ses-01,ses-05,4,,69,18,100,78,0.440000,0.440000,0.428805,0.493600,0.693630,0.500671,0.112017
deepconvnet,cross_session,sub-004,,ses-02,ses-01,4,,77,20,87,2,0.448276,0.452167,0.379310,0.494715,1.209125,0.672821,0.266724
deepconvnet,cross_session,sub-004,,ses-02,ses-03,4,,77,20,91,2,0.560440,0.580911,0.502732,0.612403,0.770067,0.558737,0.200562
deepconvnet,cross_session,sub-004,,ses-02,ses-04,4,,77,20,100,2,0.550000,0.550000,0.495006,0.548800,0.723132,0.525437,0.125627
deepconvnet,cross_session,sub-004,,ses-02,ses-05,4,,77,20,100,2,0.500000,0.500000,0.333333,0.506000,0.724582,0.530187,0.127591
deepconvnet,cross_session,sub-004,,ses-03,ses-01,4,,72,19,87,1,0.528736,0.532770,0.465137,0.452960,0.720950,0.527657,0.167333
deepconvnet,cross_session,sub-004,,ses-03,ses-02,4,,72,19,97,1,0.556701,0.560374,0.494608,0.576531,0.712222,0.515828,0.131093
deepconvnet,cross_session,sub-004,,ses-03,ses-04,4,,72,19,100,1,0.500000,0.500000,0.365804,0.507600,0.698182,0.504943,0.044446
deepconvnet,cross_session,sub-004,,ses-03,ses-05,4,,72,19,100,1,0.500000,0.500000,0.479167,0.491600,0.694109,0.500962,0.018685
deepconvnet,cross_session,sub-004,,ses-04,ses-01,4,,80,20,87,14,0.551724,0.551797,0.551724,0.542283,1.218287,0.612838,0.188042
deepconvnet,cross_session,sub-004,,ses-04,ses-02,4,,80,20,97,14,0.494845,0.492560,0.467451,0.542942,0.871835,0.616188,0.233523
